user_id,age_group,location,preferred_category,membership_type,signup_date
1,18-24,Mumbai,Beauty,Free,2025-08-02
2,25-34,Indore,Electronics,Silver,2023-04-03
3,18-24,Lucknow,Home & Kitchen,Free,2025-01-21
4,25-34,Hyderabad,Sports,Silver,2022-07-11
5,25-34,Indore,Beauty,Gold,2025-02-23
6,25-34,Ahmedabad,Sports,Free,2024-05-09
7,25-34,Indore,Home & Kitchen,Free,2022-01-14
8,25-34,Bhopal,Books,Free,2022-11-15
9,18-24,Kolkata,Books,Silver,2024-02-18
10,45-54,Jaipur,Electronics,Platinum,2022-03-30
11,18-24,Jaipur,Books,Gold,2024-02-15
12,35-44,Lucknow,Fashion,Gold,2025-06-20
13,25-34,Bhopal,Books,Platinum,2022-04-04
14,18-24,Pune,Books,Silver,2023-04-22
15,25-34,Kolkata,Books,Free,2024-01-18
16,18-24,Lucknow,Beauty,Free,2023-07-01
17,25-34,Ahmedabad,Home & Kitchen,Free,2023-05-17
18,55+,Hyderabad,Beauty,Free,2025-08-03
19,25-34,Kochi,Electronics,Gold,2022-04-25
20,35-44,Delhi,Fashion,Platinum,2024-04-01
21,35-44,Hyderabad,Beauty,Silver,2025-03-07
22,45-54,Bangalore,Books,Free,2025-08-09
23,55+,Chennai,Beauty,Silver,2025-02-23
24,45-54,Kolkata,Fashion,Platinum,2025-04-10
25,55+,Ahmedabad,Electronics,Gold,2022-10-11
26,25-34,Chandigarh,Fashion,Gold,2022-08-13
27,55+,Delhi,Home & Kitchen,Free,2024-05-14
28,55+,Chennai,Sports,Gold,2024-08-16
29,18-24,Chandigarh,Sports,Gold,2022-01-24
30,35-44,Delhi,Books,Silver,2025-08-05
31,18-24,Indore,Beauty,Free,2024-07-18
32,25-34,Jaipur,Electronics,Gold,2024-10-22
33,55+,Lucknow,Fashion,Free,2023-09-04
34,55+,Bhopal,Sports,Platinum,2022-11-27
35,35-44,Ahmedabad,Electronics,Free,2025-05-11
36,35-44,Hyderabad,Electronics,Free,2024-01-14
37,18-24,Delhi,Beauty,Silver,2025-03-07
38,55+,Bhopal,Fashion,Free,2022-05-22
39,55+,Bangalore,Books,Silver,2024-08-31
40,45-54,Hyderabad,Sports,Gold,2025-05-27
41,25-34,Indore,Books,Free,2025-11-13
42,35-44,Ahmedabad,Sports,Silver,2025-10-07
43,25-34,Delhi,Books,Free,2023-05-23
44,25-34,Lucknow,Fashion,Free,2025-02-08
45,18-24,Hyderabad,Electronics,Platinum,2025-12-20
46,18-24,Jaipur,Fashion,Free,2023-11-08
47,25-34,Jaipur,Fashion,Gold,2024-09-21
48,55+,Ahmedabad,Fashion,Gold,2025-03-15
49,25-34,Delhi,Electronics,Silver,2024-04-13
50,45-54,Pune,Home & Kitchen,Gold,2023-12-27
51,18-24,Mumbai,Home & Kitchen,Gold,2022-04-21
52,25-34,Hyderabad,Fashion,Silver,2022-08-12
53,45-54,Bangalore,Books,Silver,2022-10-15
54,45-54,Bhopal,Sports,Free,2022-06-04
